Country,Region,Province,City,Successful_Attack,Suicide_Attack,Attack_Type,Target_Type,Target_Subtype,Corporation,Target,Target_Nationality,Terrorist_Group,Weapon_Type,Kill_Count,Terrorists_Killed,People_Injured,Terrorist_Injured,Property_Damaged,Hostage_Kidnapped,ransom,Hostage_Recovered,International_Attack,Death_Category,Death
Iraq,'Middle East & North Africa',Unknown,Quzaniyah,1,1,Bombing/Explosion,Police,'Police Building (headquarters  station  school)','Iraqi Border Guards','Customs Building',Iraq,Unknown,Explosives,1,1,4,0,-9,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Kirkuk,'Taza Khurmatu',1,0,'Armed Assault','Private Citizens & Property','Unnamed Civilian/Unspecified',Unknown,'A member of the Kurdish Asayish was targeted in the attack.',Iraq,Unknown,Firearms,1,0,0,0,-9,0,0,0,0,Low,yes
Afghanistan,'South Asia',Kunduz,Choga,1,0,Bombing/Explosion,'Terrorists/Non-State Militia',Terrorist,Unknown,'Former Commander',Afghanistan,Unknown,Explosives,2,1,4,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Kandahar,'Maywand district',1,0,Bombing/Explosion,'Private Citizens & Property','Public Area (garden  parking lot  garage  beach  public building  camp)','Not Applicable','Soccer Field',Afghanistan,Taliban,Explosives,3,0,4,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Farah,'Khaki Safed district',1,0,'Armed Assault','Educational Institution',Teacher/Professor/Instructor,'Not Applicable',Teacher,Afghanistan,Taliban,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Somalia,'Sub-Saharan Africa',Banaadir,Mogadishu,1,0,Bombing/Explosion,Business,Restaurant/Bar/Café,Unknown,Restaurant,Somalia,Unknown,Explosives,1,0,7,0,1,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Diyala,Nahrawan,1,0,Bombing/Explosion,'Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilians,Iraq,Unknown,Explosives,2,0,8,0,-9,0,0,0,0,Low,yes
Turkey,'Middle East & North Africa',Diyarbakir,Diyarbakir,1,0,Assassination,'Journalists & Media','Newspaper Journalist/Staff/Facility','Ozgur Gundem Newspaper located in Istanbul','Journalist Musa Anter',Turkey,'Boz-Ok (Grey Arrow)',Firearms,1,0,1,0,0,0,0,0,0,Low,yes
India,'South Asia','Jammu and Kashmir',Gainad,1,0,'Armed Assault',Police,'Police Patrol (including vehicles and convoys)','Indian Polices Forces','A police patrol in Gainad',India,'Harkatul Jihad-e-Islami',Firearms,3,3,0,0,0,0,0,0,1,Low,yes
Angola,'Sub-Saharan Africa',Luanda,Luanda,1,0,Assassination,'Private Citizens & Property','Race/Ethnicity Identified',Unknown,'Portuguese National',Portugal,Unknown,Unknown,1,0,0,0,0,0,0,0,1,Low,yes
Iraq,'Middle East & North Africa',Diyala,Bismaya,1,0,Bombing/Explosion,'Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilians,Iraq,Unknown,Explosives,1,0,5,0,1,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Nineveh,Shorah,1,0,'Armed Assault',Military,'Military Transportation/Vehicle (excluding convoys)','Iraqi Army',Bus,Iraq,Unknown,Firearms,5,0,4,0,1,0,0,0,0,Low,yes
'South Africa','Sub-Saharan Africa',Natal,Unknown,1,0,Assassination,'Private Citizens & Property','Unnamed Civilian/Unspecified',Unknown,'3 persons','South Africa',Unknown,Firearms,3,0,0,0,0,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,1,0,Bombing/Explosion,'Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilians,Iraq,Unknown,Explosives,1,0,8,0,-9,0,0,0,0,Low,yes
Afghanistan,'South Asia',Paktika,'Gayan district',0,0,'Armed Assault',Military,'Military Checkpoint','Afghan National Security Force (ANSF)',Checkpoint,Afghanistan,Taliban,Firearms,1,1,1,1,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Ghazni,Muqur,1,0,Assassination,Police,'Police Security Forces/Officers','Muqur Law Enforcement','Mohammed Akram  a Crime Branch Chief was targeted in the attack.',Afghanistan,Taliban,Firearms,1,0,0,0,-9,0,0,0,0,Low,yes
Pakistan,'South Asia',Sindh,Karachi,1,0,'Armed Assault','Government (General)','Politician or Political Party Movement/Meeting/Rally','Muttahida Qaumi Movement (MQM)','A Muttahida Qaumi Movement (MQM) activist was the target.',Pakistan,Unknown,Firearms,1,1,0,0,-9,0,0,0,0,Low,yes
Afghanistan,'South Asia',Jawzjan,'Qara Darya',0,0,Unknown,Military,'Military Checkpoint','Afghan National Security Force (ANSF)',Checkpoints,Afghanistan,Taliban,Unknown,2,2,3,3,0,0,0,0,0,Low,yes
Algeria,'Middle East & North Africa',Bouira,Unknown,1,0,Bombing/Explosion,Military,'Military Personnel (soldiers  troops  officers  forces)','People s National Army (ANP)',Soldiers,Algeria,Unknown,Explosives,2,0,0,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Kandahar,Kandahar,1,0,Assassination,Police,'Police Security Forces/Officers','Afghan Police','Police Chief: Rahmatullah',Afghanistan,Taliban,Firearms,1,0,0,0,1,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,1,0,Bombing/Explosion,Business,Restaurant/Bar/Café,Unknown,Restaurant,Iraq,Unknown,Explosives,1,0,6,0,-9,0,0,0,0,Low,yes
Afghanistan,'South Asia',Khost,Bak,1,0,'Armed Assault','Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilian,Afghanistan,Taliban,Melee,1,0,0,0,0,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Kirkuk,Kirkuk,1,0,Bombing/Explosion,'Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilian,Iraq,Unknown,Explosives,1,0,0,0,1,0,0,0,0,Low,yes
India,'South Asia',Manipur,'Bishenpur district',1,0,'Armed Assault',Police,'Police Patrol (including vehicles and convoys)',Govt,'Security force vehicle',India,Unknown,Firearms,4,0,0,0,1,0,0,0,0,Low,yes
Somalia,'Sub-Saharan Africa',Banaadir,Mogadishu,1,0,Assassination,'Journalists & Media','Radio Journalist/Staff/Facility','Radio Shabelle','Director: Hassan Osman Abdi',Somalia,Al-Shabaab,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Yemen,'Middle East & North Africa','Ad Dali',Damt,1,0,Unknown,'Private Citizens & Property','Named Civilian','Not Applicable','Civilian: Riyad Salih Abu- Usir',Yemen,'Houthi extremists (Ansar Allah)',Unknown,1,0,0,0,0,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa','Al Anbar',Al-Asriyah,0,1,Bombing/Explosion,Military,'Military Personnel (soldiers  troops  officers  forces)','Iraqi Armed Forces',Soldiers,Iraq,'Islamic State of Iraq and the Levant (ISIL)',Explosives,4,4,0,0,0,0,0,0,1,Low,yes
Somalia,'Sub-Saharan Africa',Mudug,Galkayo,1,0,Assassination,'Journalists & Media','Radio Journalist/Staff/Facility',Unknown,'Radio Reporter: Ali Ahmed Abdi',Somalia,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Pakistan,'South Asia',Sindh,Karachi,1,0,'Armed Assault',Police,'Police Patrol (including vehicles and convoys)','Pakistani Police',Vehicle,Pakistan,Tehrik-e-Khilafat,Firearms,1,0,1,0,1,0,0,0,0,Low,yes
Spain,'Western Europe',Catalonia,Barcelona,1,0,'Armed Assault',Police,'Police Security Forces/Officers',Unknown,'Police Unit',Spain,'First of October Antifascist Resistance Group (GRAPO)',Firearms,2,0,0,0,1,0,0,0,0,Low,yes
Pakistan,'South Asia','North-West Frontier Province',Pabbi,1,0,Bombing/Explosion,Unknown,?,Unknown,'group of persons',Pakistan,Unknown,Explosives,1,0,2,0,1,0,0,0,0,Low,yes
Philippines,'Southeast Asia',Bataan,Unknown,1,0,Assassination,Business,Bank/Commerce,Unknown,'Bank manager',Philippines,'New People s Army (NPA)',Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Lebanon,'Middle East & North Africa',Beqaa,Arsal,1,0,'Armed Assault',Police,'Police Security Forces/Officers','Internal Security Force (ISF)','Vehicle of Information Branch Officer: Zaher Izzedine',Lebanon,'Islamic State of Iraq and the Levant (ISIL)',Firearms,1,0,1,0,1,0,0,0,1,Low,yes
Thailand,'Southeast Asia',Pattani,Pattani,1,0,Bombing/Explosion,Police,'Police Security Forces/Officers','Royal Thai Police','Officers: Police Sergeant Maj Anurak Rakbut  Lance Corporals Wichakorn Setthakul  Surasak Parnsung.',Thailand,Unknown,Explosives,1,0,3,0,1,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Nineveh,Mosul,1,0,Bombing/Explosion,Military,'Military Unit/Patrol/Convoy','Multi-National Force – Iraq (MNF-I)','A US Military Convoy near Yarmuk',International,Unknown,Explosives,4,0,7,0,-9,0,0,0,1,Low,yes
India,'South Asia',Jharkhand,'Bokaro district',1,0,Unknown,Military,Paramilitary,'Commando Battalion for Resolute Action','Commando Battalion for Resolute Action (CoBRA) soldiers',India,'Communist Party of India - Maoist (CPI-Maoist)',Unknown,2,0,4,0,-9,0,0,0,0,Low,yes
Pakistan,'South Asia',Sindh,Karachi,1,0,'Armed Assault',Military,'Military Personnel (soldiers  troops  officers  forces)','Pakistan Army',Soldier,Pakistan,Unknown,Firearms,2,0,1,0,0,0,0,0,0,Low,yes
Nigeria,'Sub-Saharan Africa',Taraba,'Ungwan Kwalla',1,0,'Armed Assault','Private Citizens & Property',Village/City/Town/Suburb,'Ungwan Kwalla Village',Village,Nigeria,Unknown,Firearms,9,0,0,0,1,0,0,0,0,Medium,yes
Colombia,'South America',Risaralda,Mistrato,1,0,Assassination,'Government (General)','Government Personnel (excluding police  military)',Unknown,'The governor of an indigenous community',Colombia,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Helmand,'Reg district',1,0,'Armed Assault',Police,'Police Checkpoint','Afghan Police',Checkpoint,Afghanistan,Taliban,Firearms,2,0,6,0,1,0,0,0,0,Low,yes
Afghanistan,'South Asia',Helmand,Gereshk,1,1,Bombing/Explosion,Military,NATO,'North Atlantic Treaty Organization (NATO)','Troops with the International Security Assistance Force',Multinational,Taliban,Explosives,7,1,4,0,-9,0,0,0,1,Medium,yes
Iraq,'Middle East & North Africa',Nineveh,'Hammam al-Alil',1,0,'Armed Assault',Police,'Police Checkpoint','Iraqi Police Service (IPS)',Checkpoint,Iraq,Unknown,Firearms,1,0,0,0,-9,0,0,0,0,Low,yes
Afghanistan,'South Asia',Wardak,'Maydan Shahr',1,0,Unknown,'Private Citizens & Property','Unnamed Civilian/Unspecified',Unknown,Civilians,Afghanistan,Taliban,Unknown,3,0,4,0,-9,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,0,0,Assassination,Police,'Police Security Forces/Officers','Iraqi Police Service (IPS)','Chief Directorate of Iraqi Police in Baghdad  Lieutenant Colonel Mohammed Riyadh ',Iraq,Unknown,Explosives,1,0,1,0,1,0,0,0,0,Low,yes
Russia,'Eastern Europe','Kabardino Balkariya','Chegemskiy (District)',1,0,'Armed Assault',Police,'Police Security Forces/Officers','Chegemskiy Law Enforcement','Police officers',Russia,Unknown,Firearms,2,0,0,0,-9,0,0,0,0,Low,yes
Afghanistan,'South Asia',Uruzgan,'Tarin Kot',1,0,'Armed Assault','Government (General)','Government Personnel (excluding police  military)','Government of Tarin Kot','Head of Village Development Council: Abdul Malik',Afghanistan,Unknown,Firearms,2,0,0,0,0,0,0,0,0,Low,yes
Algeria,'Middle East & North Africa','Tizi Ouzou','Oued Aissi',1,0,'Armed Assault',Business,Restaurant/Bar/Café,Unknown,Bar,Algeria,Unknown,Firearms,6,0,0,0,1,0,0,0,0,Medium,yes
Libya,'Middle East & North Africa',Misrata,Dafniya,1,0,Bombing/Explosion,'Religious Figures/Institutions','Place of Worship','Mar Girgis Coptic Church',Church,Libya,'Muslim extremists',Explosives,2,0,2,0,1,0,0,0,0,Low,yes
Somalia,'Sub-Saharan Africa',Banaadir,Mogadishu,1,0,Bombing/Explosion,Unknown,?,'Somali civilians',?,Somalia,Unknown,Explosives,3,0,0,0,-9,0,0,0,0,Low,yes
Afghanistan,'South Asia',Helmand,Gereshk,1,1,Bombing/Explosion,Police,'Police Patrol (including vehicles and convoys)',Police,'A police van transporting officers in Greshk',Afghanistan,Unknown,Explosives,1,1,3,0,1,0,0,0,0,Low,yes
Somalia,'Sub-Saharan Africa',Banaadir,Mogadishu,1,0,Assassination,'Journalists & Media','Television Journalist/Staff/Facility','RAi-3 Television','Ilaria Alpi',Italy,Unknown,Firearms,2,0,0,0,0,0,0,0,1,Low,yes
Sudan,'Sub-Saharan Africa',Unknown,'Kleikeley Salama',1,0,'Armed Assault','Private Citizens & Property','Named Civilian','Ma alia tribe','Salman Hamid  Hamid Abd-al-Naby  Abu-Raida al-Sadig  Al-Faki Muhammad Ali Salih and a lady known as Um-Bereima Ali',Sudan,'Justice and Equality Movement (JEM)',Firearms,6,0,0,0,1,0,0,0,0,Medium,yes
Iraq,'Middle East & North Africa',Nineveh,Mosul,1,0,Bombing/Explosion,'Private Citizens & Property',Village/City/Town/Suburb,'Amil Neighborhood',Neighborhood,Iraq,'Islamic State of Iraq and the Levant (ISIL)',Explosives,1,0,3,0,-9,0,0,0,1,Low,yes
Afghanistan,'South Asia',Nangarhar,'Haska Meena',1,0,'Hostage Taking (Kidnapping)',Police,'Police Checkpoint','Afghan Border Police (ABP)',Checkpoint,Afghanistan,'Khorasan Chapter of the Islamic State',Melee,7,0,2,0,0,1,0,0,1,Medium,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,1,0,Bombing/Explosion,'Airports & Aircraft',Airport,'Baghdad International Airport','The target was Baghdad International Airport.',Iraq,Unknown,Explosives,1,0,0,0,-9,0,0,0,0,Low,yes
Philippines,'Southeast Asia',Maguindanao,'Datu Piang district',1,0,'Armed Assault',Military,'Military Personnel (soldiers  troops  officers  forces)','Armed Forces of the Philippines (AFP)',Soldiers,Philippines,'Bangsamoro Islamic Freedom Movement (BIFM)',Firearms,1,0,2,0,0,0,0,0,0,Low,yes
Nigeria,'Sub-Saharan Africa',Plateau,Rajat,1,0,'Armed Assault','Private Citizens & Property',Village/City/Town/Suburb,Unknown,Village,Nigeria,'Fulani extremists',Firearms,19,0,0,0,1,0,0,0,0,Medium,yes
Afghanistan,'South Asia',Uruzgan,'Shahidi Hassas district',1,0,Bombing/Explosion,Police,'Police Patrol (including vehicles and convoys)','Afghan Police',Vehicle,Afghanistan,Taliban,Explosives,5,0,1,0,1,0,0,0,0,Low,yes
'South Africa','Sub-Saharan Africa',KwaZulu-Natal,Umlazi,1,0,Assassination,'Violent Political Party','Party Official/Candidate/Other Personnel','Inkatha Freedom Party (IFP)',Member,'South Africa','African National Congress (South Africa)',Explosives,1,0,3,0,0,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Kirkuk,Kirkuk,1,0,Assassination,'Government (General)',Judge/Attorney/Court,'Al Huwayjah Court','Judge: Ibrahim Khamis Thalj',Iraq,Unknown,Firearms,4,0,0,0,0,0,0,0,0,Low,yes
Peru,'South America',Lima,Lima,1,0,Bombing/Explosion,'Government (Diplomatic)',Embassy/Consulate,Unknown,consulate,Colombia,'Tupac Amaru Revolutionary Movement (MRTA)',Explosives,1,1,0,0,1,0,0,0,1,Low,yes
Algeria,'Middle East & North Africa','Ain Defla',Bathia,1,0,Unknown,'Private Citizens & Property',Village/City/Town/Suburb,Unknown,Town,Algeria,Unknown,Unknown,7,0,0,0,1,0,0,0,0,Medium,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,1,0,'Armed Assault',Transportation,'Bus (excluding tourists)',Worshippers,'Iraqi Shi i civilians',Iraq,Unknown,Firearms,7,0,0,0,-9,0,0,0,0,Medium,yes
Iraq,'Middle East & North Africa',Kirkuk,Hawijah,1,0,'Armed Assault','Government (General)','Government Personnel (excluding police  military)','Hawija town council member','Ahmed Abdel Wahab al-Juburi',Iraq,Unknown,Firearms,1,0,0,0,-9,0,0,0,0,Low,yes
India,'South Asia','Jammu and Kashmir',Achabal,1,0,Bombing/Explosion,Transportation,'Bus Station/Stop',Unknown,'Bus Stop',India,Unknown,Explosives,1,0,5,0,1,0,0,0,0,Low,yes
Yemen,'Middle East & North Africa',Sanaa,'Nihm district',1,0,Unknown,Military,'Military Personnel (soldiers  troops  officers  forces)','Yemeni Army',Soldiers,Yemen,'Houthi extremists (Ansar Allah)',Unknown,13,0,0,0,0,0,0,0,0,Medium,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,1,0,Bombing/Explosion,'Government (General)','Government Personnel (excluding police  military)','Iraqi Ministry of Electricity','Vehicle of Employee',Iraq,Unknown,Explosives,1,0,1,0,1,0,0,0,0,Low,yes
Ukraine,'Eastern Europe',Donetsk,Myronivsky,1,0,'Hostage Taking (Kidnapping)',Military,'Military Checkpoint','Armed Forces of Ukraine',Checkpoint,Ukraine,Unknown,Explosives,2,0,1,0,-9,1,0,0,0,Low,yes
Nicaragua,'Central America & Caribbean','Atlantico Norte',Unknown,1,0,'Armed Assault',Military,'Military Unit/Patrol/Convoy',Unknown,'Military Unit',Nicaragua,Contras,Firearms,6,0,0,0,1,0,0,0,0,Medium,yes
Iraq,'Middle East & North Africa',Nineveh,'Hammam al-Alil',1,0,'Armed Assault',Military,Paramilitary,'Iraqi Volunteer Forces','Son of Member',Iraq,Unknown,Firearms,1,0,0,0,-9,0,0,0,0,Low,yes
Colombia,'South America',Cundinamarca,'Caparrapi district',1,0,Assassination,'Government (General)','Government Personnel (excluding police  military)',Govt,'Caparrapi Municipal Registrar Maria del Carmen Tobar',Colombia,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Saladin,'Baiji district',1,1,Bombing/Explosion,Unknown,?,Unknown,Unknown,Iraq,'Islamic State of Iraq and the Levant (ISIL)',Explosives,3,3,0,0,0,0,0,0,1,Low,yes
'El Salvador','Central America & Caribbean',Usulutan,Usulutan,1,0,'Armed Assault',Military,'Military Barracks/Base/Headquarters/Checkpost',Military,'6th Brigade HQ','El Salvador','Farabundo Marti National Liberation Front (FMLN)',Firearms,45,0,0,0,1,0,0,0,0,Medium,yes
Thailand,'Southeast Asia','Narathiwat (Provice)',Unknown,1,0,'Armed Assault','Private Citizens & Property','Religion Identified','Muslim Citizen','Narathiwat Province',Thailand,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Pakistan,'South Asia',Balochistan,Quetta,1,0,'Armed Assault',Business,Medical/Pharmaceutical,'Pakistan Medical Association','The Medical Association President and his companion',Pakistan,Unknown,Firearms,1,0,1,0,-9,0,0,0,0,Low,yes
Russia,'Eastern Europe','Chechnya (Republic)',Grozny,1,0,Bombing/Explosion,Military,'Military Personnel (soldiers  troops  officers  forces)','Russian Military','Russian Soldiers Driving in Grozny',Russia,'Chechen Rebels',Explosives,1,0,5,0,1,0,0,0,0,Low,yes
'Sri Lanka','South Asia',Eastern,Mandur,1,0,Assassination,'Violent Political Party','Party Official/Candidate/Other Personnel','Eelam People s Revolutionary Liberation Front (EPRLF)','Vice President of the Porathivu Pradheshya Sabha: Poopalapillai Alaguthurai','Sri Lanka','Liberation Tigers of Tamil Eelam (LTTE)',Melee,1,0,0,0,0,-9,0,0,0,Low,yes
Libya,'Middle East & North Africa',Benghazi,Benghazi,1,0,'Armed Assault',Military,'Military Personnel (soldiers  troops  officers  forces)',Al-Saiqa,'Parachute Trainer: Saad Saleh Bakr Al-Urafi',Libya,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
'Democratic Republic of the Congo','Sub-Saharan Africa','North Kivu',Butembo,1,0,Unknown,Police,'Police Security Forces/Officers','Congolese National Police (PNC)',Officers,'Democratic Republic of the Congo',Unknown,Unknown,2,0,0,0,0,0,0,0,0,Low,yes
Afghanistan,'South Asia',Helmand,'Lashkar Gah',1,1,Bombing/Explosion,Police,'Police Building (headquarters  station  school)','Afghan Police','Police Station',Afghanistan,Taliban,Explosives,15,1,14,0,1,0,0,0,0,Medium,yes
Pakistan,'South Asia',Sindh,Karachi,1,0,'Armed Assault','Religious Figures/Institutions','Place of Worship','Khyber Mosque',Mosque,Pakistan,'Tehrik-i-Taliban Pakistan (TTP)',Firearms,1,0,4,1,-9,0,0,0,0,Low,yes
'Sri Lanka','South Asia',Central,'Kandy District',1,0,'Armed Assault','Private Citizens & Property','Unnamed Civilian/Unspecified',Unknown,'15 Men','Sri Lanka','Vigilante Group',Firearms,15,0,0,0,0,0,0,0,0,Medium,yes
Afghanistan,'South Asia',Kunar,'Dangam district',1,0,Bombing/Explosion,'Private Citizens & Property',Vehicles/Transportation,'Not Applicable',Van,Afghanistan,Unknown,Explosives,2,0,2,0,1,0,0,0,0,Low,yes
India,'South Asia',Haryana,Panipat,1,0,Bombing/Explosion,Transportation,'Bus (excluding tourists)',Unknown,Bus,India,Unknown,Explosives,1,0,18,0,1,0,0,0,0,Low,yes
Algeria,'Middle East & North Africa',Algiers,Algiers,1,0,'Hostage Taking (Kidnapping)','Government (General)','Politician or Political Party Movement/Meeting/Rally',Unknown,'National Liberation Front',Algeria,Unknown,Unknown,1,0,0,0,0,1,0,0,0,Low,yes
Russia,'Eastern Europe','Karachayevo Cherkesiya Republic',Karachayevsk,1,0,'Armed Assault',Police,'Police Security Forces/Officers',Unknown,'The targets were policemen.',Russia,Unknown,Firearms,3,0,1,0,0,0,0,0,0,Low,yes
Israel,'Middle East & North Africa',Northern,Tamra,1,0,Assassination,'Private Citizens & Property','Unnamed Civilian/Unspecified',Unknown,'Israeli Collaborator','West Bank and Gaza Strip',Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
'South Africa','Sub-Saharan Africa','Western Cape',Gugulethu,1,0,Assassination,Police,'Police Security Forces/Officers',Unknown,'SAP personnel','South Africa','African National Congress (South Africa)',Unknown,3,0,0,0,0,0,0,0,0,Low,yes
Spain,'Western Europe',Madrid,Madrid,1,0,Assassination,'Government (General)','Government Personnel (excluding police  military)','Spanish Army','Manuel Gutierrez Ortin Gil (63)  Major General  Mil Governor of Madrid',Spain,'Basque Fatherland and Freedom (ETA)',Firearms,1,0,0,0,0,0,0,0,1,Low,yes
Turkey,'Middle East & North Africa',Hakkari,Yukeskova,1,0,Unknown,Police,'Police Security Forces/Officers',Unknown,'Security Guards of President Kenan Evren',Turkey,'Kurdish Rebels',Unknown,3,0,0,0,1,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Diyala,Husseiniyah,1,0,Bombing/Explosion,'Private Citizens & Property',Village/City/Town/Suburb,'Al Husayniyah',Neighborhood,Iraq,Unknown,Explosives,1,0,7,0,-9,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Arbil,Makhmur,1,0,Unknown,'Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilians,Iraq,'Islamic State of Iraq and the Levant (ISIL)',Unknown,11,0,0,0,0,0,0,0,1,Medium,yes
Libya,'Middle East & North Africa',Benghazi,Benghazi,1,0,Assassination,Military,'Military Personnel (soldiers  troops  officers  forces)','Libyan Army','Colonel: Mustafa Agela Almugrbi',Libya,Unknown,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Unknown,Unknown,1,0,'Hostage Taking (Kidnapping)','Journalists & Media','Newspaper Journalist/Staff/Facility',Civilians,'Iraqis civilians working for Dutch journalists',Iraq,Unknown,Unknown,2,0,0,0,0,1,0,2,0,Low,yes
Iraq,'Middle East & North Africa',Baghdad,Baghdad,1,0,Bombing/Explosion,'Private Citizens & Property',Vehicles/Transportation,Unknown,'A civilian car',Iraq,Unknown,Explosives,1,0,3,0,1,0,0,0,0,Low,yes
Algeria,'Middle East & North Africa','Boumerdes Province',Legata,1,0,'Armed Assault','Private Citizens & Property','Laborer (General)/Occupation Identified',Civilian,'A former communal guard in Legata',Algeria,Gunmen,Firearms,1,0,0,0,0,0,0,0,0,Low,yes
Iraq,'Middle East & North Africa',Diyala,Baqubah,1,0,Bombing/Explosion,'Private Citizens & Property',Vehicles/Transportation,'Not Applicable',Vehicle,Iraq,Unknown,Explosives,2,0,0,0,1,0,0,0,0,Low,yes
Pakistan,'South Asia',Balochistan,'Dera Bugti',1,0,'Armed Assault',Police,'Police Patrol (including vehicles and convoys)','Pakistani Police',Patrol,Pakistan,Unknown,Firearms,2,0,3,0,1,0,0,0,0,Low,yes
'Democratic Republic of the Congo','Sub-Saharan Africa','South Kivu',Shabunda,1,0,'Armed Assault','Private Citizens & Property','Unnamed Civilian/Unspecified','Not Applicable',Civilians,'Democratic Republic of the Congo','Democratic Front for the Liberation of Rwanda (FDLR)',Melee,15,0,4,0,1,0,0,0,1,Medium,yes
Nigeria,'Sub-Saharan Africa',Borno,Maiduguri,1,1,Bombing/Explosion,'Educational Institution','School/University/Educational Building','University of Maiduguri',University,Nigeria,'Boko Haram',Explosives,4,3,1,0,1,0,0,0,0,Low,yes
